model,seed,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score
MulT,42,text_r0.3_late,text,0.3,late,728,0.604395604396,0.512932173458,0.636115158668,0.605463301007,0.703510058811
MulT,42,text_r0.4_early,text,0.4,early,728,0.578296703297,0.529995065674,0.642450171774,0.582134142763,0.698070952931
MulT,42,text_r0.4_middle,text,0.4,middle,728,0.604395604396,0.53175603505,0.642093207216,0.587785309374,0.705757189899
MulT,42,text_r0.4_late,text,0.4,late,728,0.574175824176,0.47522649347,0.650858502589,0.592010515534,0.684232789579
MulT,42,text_r0.5_early,text,0.5,early,728,0.56456043956,0.511464008059,0.665085579745,0.547211805219,0.684695688401
MulT,42,text_r0.5_middle,text,0.5,middle,728,0.587912087912,0.517757637448,0.652689326099,0.567432728774,0.695151133849
MulT,42,text_r0.5_late,text,0.5,late,728,0.537087912088,0.43832086327,0.678247472681,0.558074456394,0.660351189527
MulT,42,audio_r0.1_early,audio,0.1,early,728,0.631868131868,0.570202626702,0.650824922244,0.644892222932,0.729011512416
MulT,42,audio_r0.1_middle,audio,0.1,middle,728,0.627747252747,0.571757822524,0.65195136656,0.643966277303,0.728207413207
MulT,42,audio_r0.1_late,audio,0.1,late,728,0.630494505495,0.569117390546,0.654837423669,0.643993502243,0.728117269138
MulT,42,audio_r0.2_early,audio,0.2,early,728,0.634615384615,0.577306538127,0.647942383027,0.645371073446,0.731654265574
MulT,42,audio_r0.2_middle,audio,0.2,middle,728,0.626373626374,0.580919361223,0.652288593045,0.643141346632,0.730037223851
MulT,42,audio_r0.2_late,audio,0.2,late,728,0.627747252747,0.572958082032,0.656395457255,0.643804402572,0.728302073297
MulT,42,audio_r0.3_early,audio,0.3,early,728,0.629120879121,0.579339339339,0.646111203624,0.645551884106,0.730887739977
MulT,42,audio_r0.3_middle,audio,0.3,middle,728,0.616758241758,0.573457910618,0.653221764663,0.641907454981,0.725574896439
MulT,42,audio_r0.3_late,audio,0.3,late,728,0.620879120879,0.571790308245,0.658600331468,0.642599599631,0.726050626757
MulT,42,audio_r0.4_early,audio,0.4,early,728,0.622252747253,0.579432057552,0.646367378471,0.643982247343,0.728987008016
MulT,42,audio_r0.4_middle,audio,0.4,middle,728,0.611263736264,0.572381801738,0.65391200548,0.640909741616,0.723778768641
MulT,42,audio_r0.4_late,audio,0.4,late,728,0.618131868132,0.575428562143,0.659437252152,0.641764799884,0.726134155381
MulT,42,audio_r0.5_early,audio,0.5,early,728,0.618131868132,0.578954457128,0.646513521743,0.643297020427,0.727745645462
MulT,42,audio_r0.5_middle,audio,0.5,middle,728,0.612637362637,0.578962596693,0.653921358518,0.640403415799,0.725703693536
MulT,42,audio_r0.5_late,audio,0.5,late,728,0.612637362637,0.574184434471,0.6597178632,0.640833179444,0.724321352408
MulT,42,vision_r0.1_early,vision,0.1,early,728,0.630494505495,0.5665145052,0.650709052263,0.644023569986,0.727642321744
MulT,42,vision_r0.1_middle,vision,0.1,middle,728,0.634615384615,0.565965442596,0.658887797915,0.643550219525,0.728135325997
MulT,42,vision_r0.1_late,vision,0.1,late,728,0.631868131868,0.565530989489,0.65532652738,0.643993931532,0.727543749807
MulT,42,vision_r0.2_early,vision,0.2,early,728,0.627747252747,0.560903697602,0.652257655865,0.642798983925,0.72533520825
MulT,42,vision_r0.2_middle,vision,0.2,middle,728,0.630494505495,0.55815348533,0.663754093793,0.64345851364,0.724937891336
MulT,42,vision_r0.2_late,vision,0.2,late,728,0.631868131868,0.562481194928,0.65955457098,0.643422433132,0.726533695383
MulT,42,vision_r0.3_early,vision,0.3,early,728,0.630494505495,0.565749897499,0.654598335234,0.641346451524,0.726954476554
MulT,42,vision_r0.3_middle,vision,0.3,middle,728,0.625,0.553083458341,0.667772456262,0.643602114363,0.722147276536
MulT,42,vision_r0.3_late,vision,0.3,late,728,0.626373626374,0.556147478725,0.665623582521,0.642200814212,0.723171062113
MulT,42,vision_r0.4_early,vision,0.4,early,728,0.627747252747,0.563902839133,0.657640196741,0.640375427774,0.725557776578
MulT,42,vision_r0.4_middle,vision,0.4,middle,728,0.625,0.553410440404,0.671157098953,0.643548735224,0.722081322881
MulT,42,vision_r0.4_late,vision,0.4,late,728,0.631868131868,0.560331599609,0.670851962989,0.642663727984,0.725430733743
MulT,42,vision_r0.5_early,vision,0.5,early,728,0.629120879121,0.56430712972,0.661401114416,0.638675785227,0.725633095596
MulT,42,vision_r0.5_middle,vision,0.5,middle,728,0.622252747253,0.548156263305,0.674355007248,0.642321303789,0.719794290311
MulT,42,vision_r0.5_late,vision,0.5,late,728,0.630494505495,0.555363898578,0.67568348058,0.642111456831,0.723575054764
MulT,42,text+audio_r0.3_early,text+audio,0.3,early,728,0.600274725275,0.569109063383,0.637121217013,0.601064551553,0.715932298733
MulT,42,text+audio_r0.3_middle,text+audio,0.3,middle,728,0.604395604396,0.566112573554,0.643439274046,0.593856506955,0.715049138105
MulT,42,text+audio_r0.3_late,text+audio,0.3,late,728,0.603021978022,0.528268952021,0.63239033684,0.608750666608,0.707566968468
MulT,42,text+vision_r0.3_early,text+vision,0.3,early,728,0.597527472527,0.550921541158,0.634368290071,0.597054310371,0.710312030131
