model,seed,scenario_id,modality,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,vision_all_zero_count,vision_all_zero_accuracy,vision_all_zero_macro_f1
B5-P2,44,audio_r0.3_late,audio,0.3,late,728,0.637362637363,0.621842307093,0.610998144332,0.645368589003,0.745014053725,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.4_early,audio,0.4,early,728,0.635989010989,0.620643037986,0.611086618007,0.645375177376,0.744367966999,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.4_middle,audio,0.4,middle,728,0.635989010989,0.620851058127,0.611534562658,0.645204622149,0.74437998827,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.4_late,audio,0.4,late,728,0.637362637363,0.621742876409,0.610876509316,0.645407957002,0.74499918518,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.5_early,audio,0.5,early,728,0.635989010989,0.620744699535,0.611623508231,0.645236475923,0.744353674278,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.5_middle,audio,0.5,middle,728,0.635989010989,0.620851058127,0.611488900864,0.64516275698,0.744376657699,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.5_late,audio,0.5,late,728,0.637362637363,0.621842307093,0.611351465249,0.645234491017,0.744982569772,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.1_early,vision,0.1,early,728,0.637362637363,0.621842307093,0.610908971004,0.645329091072,0.745012832039,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.1_middle,vision,0.1,middle,728,0.635989010989,0.620851058127,0.608872221481,0.646217290503,0.744617502697,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.1_late,vision,0.1,late,728,0.634615384615,0.61975577812,0.611441886825,0.644943995355,0.743734044819,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.2_early,vision,0.2,early,728,0.637362637363,0.622412416713,0.611551738467,0.644603199772,0.745037841054,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.2_middle,vision,0.2,middle,728,0.633241758242,0.617925779998,0.608170069846,0.646646175739,0.74328223695,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.2_late,vision,0.2,late,728,0.638736263736,0.623614651602,0.611336512051,0.645075074428,0.745749758469,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.3_early,vision,0.3,early,728,0.638736263736,0.623948526368,0.61265719574,0.643414211144,0.745570590763,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.3_middle,vision,0.3,middle,728,0.630494505495,0.615743957112,0.60705410792,0.647223982585,0.742168692312,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.3_late,vision,0.3,late,728,0.634615384615,0.62031521607,0.611032779871,0.644265835941,0.743806180503,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.4_early,vision,0.4,early,728,0.633241758242,0.617370906584,0.613100614122,0.642030657943,0.742361139528,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.4_middle,vision,0.4,middle,728,0.630494505495,0.615426993328,0.606196243756,0.647070387995,0.742105996382,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.4_late,vision,0.4,late,728,0.631868131868,0.61806770234,0.609622627988,0.644327893488,0.742624002405,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.5_early,vision,0.5,early,728,0.634615384615,0.618178990835,0.611063825422,0.642000747136,0.742987694529,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.5_middle,vision,0.5,middle,728,0.630494505495,0.615527770917,0.606242384803,0.645990221665,0.741994247444,15,0.466666666667,0.444444444444
B5-P2,44,vision_r0.5_late,vision,0.5,late,728,0.631868131868,0.61806770234,0.608380797647,0.644212943707,0.742661376613,15,0.466666666667,0.444444444444
