model,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_selection_score
B3.1-alpha0,audio_r0.3_middle,audio,0.3,middle,728,0.635989010989011,0.6148976258168348,0.5966154501087718,0.6404166734673112,0.7429147662970098,-0.0013736263736263687,-0.0010966934421869912,0.0003670519780736292,-0.00017876342040090698,-0.0006552192139231972
B3.1-alpha0,audio_r0.3_late,audio,0.3,late,728,0.6373626373626373,0.6159943192590218,0.5968518442075167,0.6403223013155405,0.7435106999778776,0.0,0.0,0.0006034460768185035,-0.00027313557217167883,-5.9285533055453143e-05
B3.1-alpha0,audio_r0.4_early,audio,0.4,early,728,0.6373626373626373,0.6159943192590218,0.5959930276487965,0.6406707039661981,0.7435900343324897,0.0,0.0,-0.00025537048190171774,7.526707848592995e-05,2.0048821556706287e-05
B3.1-alpha0,audio_r0.4_middle,audio,0.4,middle,728,0.635989010989011,0.6148976258168348,0.5969892546974613,0.6403128240340359,0.7428862099266551,-0.0013736263736263687,-0.0010966934421869912,0.0007408565667631484,-0.0002826128536762562,-0.0006837755842779014
B3.1-alpha0,audio_r0.4_late,audio,0.4,late,728,0.6373626373626373,0.6159249317519111,0.5968886374362877,0.6403156787462969,0.7434909922287455,0.0,-6.938750711071862e-05,0.0006402393055895406,-0.0002797581414152317,-7.899328218752277e-05
B3.1-alpha0,audio_r0.5_early,audio,0.5,early,728,0.6373626373626373,0.6159943192590218,0.596352242460413,0.640544771818817,0.7435593255302497,0.0,0.0,0.00010384432971477509,-5.066506889517264e-05,-1.0659980683280779e-05
B3.1-alpha0,audio_r0.5_middle,audio,0.5,middle,728,0.635989010989011,0.6148976258168348,0.5970105525454158,0.6402752064891334,0.7428806203232108,-0.0013736263736263687,-0.0010966934421869912,0.0007621544147176085,-0.000320230398578758,-0.000689365187722224
B3.1-alpha0,audio_r0.5_late,audio,0.5,late,728,0.6387362637362637,0.6170243978554035,0.597161174291274,0.6401504371568632,0.744077254447055,0.0013736263736263687,0.0010300785963817116,0.0009127761605758344,-0.0004449997308489939,0.0005072689361219629
B3.1-alpha0,vision_r0.1_early,vision,0.1,early,728,0.6346153846153846,0.6124162657669512,0.5965700399151052,0.6407499899702245,0.7419945763453992,-0.0027472527472527375,-0.003578053492070632,0.00032164178440696745,0.00015455308251233202,-0.001575409165533781
B3.1-alpha0,vision_r0.1_middle,vision,0.1,middle,728,0.6387362637362637,0.6167939530102856,0.5963029736693908,0.640965666734406,0.7441573052922135,0.0013736263736263687,0.0007996337512637952,5.4575538692591685e-05,0.00037022984669388137,0.0005873197812804598
B3.1-alpha0,vision_r0.1_late,vision,0.1,late,728,0.635989010989011,0.6145287954102457,0.5967032464661195,0.6402761670950808,0.7428013372172776,-0.0013736263736263687,-0.0014655238487760736,0.00045484833542130954,-0.00031926979263130484,-0.0007686482936554162
B3.1-alpha0,vision_r0.2_early,vision,0.2,early,728,0.6373626373626373,0.6159943192590218,0.5972888447027039,0.6403979826851631,0.7435019517951142,0.0,0.0,0.0010404465720057487,-0.0001974542025490189,-6.80337158187605e-05
B3.1-alpha0,vision_r0.2_middle,vision,0.2,middle,728,0.6373626373626373,0.616283792724532,0.5962277667873263,0.6412643454053858,0.7437268270813269,0.0,0.000289473465510226,-2.0631343371935174e-05,0.0006689085176736498,0.00015684157039386193
B3.1-alpha0,vision_r0.2_late,vision,0.2,late,728,0.635989010989011,0.6151423182854873,0.5969275866717019,0.6403465723669305,0.7429541710865033,-0.0013736263736263687,-0.0008520009735345502,0.0006791885410036835,-0.00024886452078165533,-0.0006158144244297059
B3.1-alpha0,vision_r0.3_early,vision,0.3,early,728,0.6346153846153846,0.6131498243541651,0.5988161984043052,0.6391370174208879,0.7418827544864857,-0.0027472527472527375,-0.0028444949048567203,0.002567800273607035,-0.0014584194668242345,-0.0016872310244473443
