model,category,group,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,pearson_mean,pearson_sd,selection_score_mean,selection_score_sd
MISA,modality_location,audio/late,0.6128205128205129,0.008247860988423252,0.6006841510248766,0.006011385027857888,0.9178385869796889,0.10044682824815897,0.626835185494778,0.008758875618074239,0.7184872896907076,0.0011695927019764155
MISA,modality_location,audio/middle,0.6128205128205129,0.00839749082233849,0.6007107318608198,0.006143788776872798,0.9181424815858452,0.10018712103927735,0.6267811563956988,0.008815243110794204,0.718474518987052,0.0013094437681828001
MISA,modality_location,text/early,0.5965201465201465,0.010404558635410574,0.5830765080202185,0.012940449225008773,0.9381870926285313,0.10890099819387669,0.6020827037179896,0.007987253537926174,0.7060683727403179,0.0069299734564353
MISA,modality_location,text/late,0.603021978021978,0.013034259521182938,0.5875675357967381,0.009860441658585845,0.9619258487108419,0.11469797399011508,0.6152527212207686,0.0059987663528367615,0.70947372491099,0.001415095634857762
MISA,modality_location,text/middle,0.5967948717948718,0.014360364270772915,0.5892245557002425,0.013240215355355979,0.8995638311370668,0.09338330215166933,0.6077874231576212,0.007259613292452002,0.7099964584711035,0.005791200632337123
MISA,modality_location,vision/early,0.6147435897435898,0.0074446663321255414,0.6026147649535486,0.006235825298680262,0.922756095262988,0.10061803593971533,0.6266334419389603,0.008353281594618182,0.7192205982806968,0.0009938263291404414
MISA,modality_location,vision/late,0.6121794871794872,0.011211125232822639,0.6007188587115005,0.009616548113557687,0.9166656777194458,0.0999808249431254,0.6266745163810488,0.008391510942622785,0.7183644977820678,0.0022005804253130965
MISA,modality_location,vision/middle,0.6127289377289378,0.010715459689604467,0.6003528842105698,0.009189246607613786,0.920693298756493,0.10069471340401756,0.626518311792054,0.008387058657953814,0.7182230236773631,0.0024337665674801614
MISA,modality_rho,audio/0.1,0.6130952380952381,0.008279826611733144,0.601020332088842,0.006018241965075563,0.9176351970690786,0.10047483676503957,0.626864230940298,0.008738239711101934,0.718652121535679,0.0013788721641493436
MISA,modality_rho,audio/0.2,0.6130952380952381,0.008279826611733144,0.6010073888696894,0.006039104005868993,0.9176879938629595,0.10047704014860794,0.6268564799468206,0.008746127308225262,0.7186457169902944,0.001384700943518206
MISA,modality_rho,audio/0.3,0.6127899877899878,0.008496438131695254,0.6006867845601793,0.006242018957018238,0.917820696836259,0.10043570240969112,0.6268272855161217,0.008770439430686026,0.7184800747422129,0.0013732446741598243
MISA,modality_rho,audio/0.4,0.6126373626373627,0.008241758241758268,0.6004859167538715,0.005991250988871969,0.9180436059680479,0.10034868465547238,0.6267989714004703,0.008795520178290609,0.718378874357532,0.0010290226589664655
MISA,modality_rho,audio/0.5,0.6126373626373627,0.008241758241758268,0.600472973534719,0.006010731534128371,0.9185754138240317,0.10001433279723791,0.6267302457783456,0.008861307173187567,0.7183448891893124,0.0010420129567112156
MISA,modality_rho,text/0.1,0.6088217338217338,0.010692478564186222,0.5956466133395446,0.00868100090478137,0.9307676648201707,0.10400749215496234,0.622379299413583,0.007785274693015577,0.7151325131828438,0.001683247963665287
MISA,modality_rho,text/0.2,0.6036324786324786,0.010138952185740157,0.5906687454324082,0.0087310827827695,0.9324487115592515,0.10668379982159183,0.6179234328128769,0.007261195054449632,0.7119637054695291,0.0038050868770419417
MISA,modality_rho,text/0.3,0.6018009768009768,0.010848202468813673,0.5894649239303658,0.010165328660386098,0.9341297054794641,0.10912777059464818,0.6099609038561584,0.006384181437087424,0.7101395171032111,0.004807339987409137
MISA,modality_rho,text/0.4,0.5973748473748474,0.012658690042578687,0.5860486229551309,0.011860724350454769,0.9315246532519629,0.10473175947710149,0.6047222014146368,0.006957319332766262,0.7076326155404924,0.00524773997396271
MISA,modality_rho,text/0.5,0.5822649572649573,0.013241496475423687,0.5712854268712156,0.013021502950380652,0.9372572190165508,0.10269584616576162,0.5868855759967105,0.0074902954254677705,0.6976959089079424,0.005663281099340582
MISA,modality_rho,vision/0.1,0.6130952380952381,0.00919178566844541,0.6011237922844305,0.007102055761127386,0.9183477129579962,0.10045917489715248,0.6271285108368223,0.008656218299794042,0.7186813334096035,0.0012627929644313776
MISA,modality_rho,vision/0.2,0.6132478632478633,0.009092412093166365,0.6014584429982454,0.007302271426151879,0.9187569427699128,0.10034325020424646,0.6271365232260205,0.008514257896598239,0.7187871026827001,0.0011007383606102808
MISA,modality_rho,vision/0.3,0.6126373626373627,0.008843043917503665,0.6007968243471716,0.007500673453874825,0.919187754360073,0.10036606154353282,0.6268571321840068,0.00834649129775633,0.7184161985041314,0.0011797577709034902
MISA,modality_rho,vision/0.4,0.6135531135531136,0.009615384615384637,0.6014310572249243,0.008519482818833544,0.9206561218791952,0.10032975584261328,0.6263488843462358,0.008231442578938679,0.7186789814928225,0.0021268665480342003
MISA,modality_rho,vision/0.5,0.6135531135531136,0.012140177274324968,0.6013340629379265,0.011255803829871227,0.9232432542643675,0.10080836801055701,0.6255727329270196,0.008160419097270593,0.7184499168109555,0.003208250986848627
