model,seed,category,group,accuracy,macro_f1,mae,pearson,selection_score
MulT,44,by_modality,audio,0.5891941391941392,0.5856544676968072,0.6090444386488121,0.6397317965234223,0.7233017746777972
MulT,44,by_modality,vision,0.606959706959707,0.5967161885095699,0.6133489900608052,0.641382135774902,0.7305355329199817
MulT,44,double_stress,text+audio,0.5215201465201466,0.528143935230375,0.6498301346170555,0.6021939677747944,0.6856140108004357
MulT,44,double_stress,text+vision,0.5576923076923076,0.5575310781522443,0.6451322069424017,0.6165592226567553,0.7039952406706323
MulT,44,double_stress,audio+vision,0.5842490842490843,0.5787796875825985,0.6172282530486092,0.6380928191484246,0.7198009514744484
MulT,44,modality_rho,text/0.1,0.5782967032967034,0.5768363043661433,0.6223064920269703,0.6318360813638063,0.716833324918397
MulT,44,modality_rho,text/0.2,0.5641025641025641,0.5638287475756556,0.6328587654693182,0.6212839913879554,0.7082742116151611
MulT,44,modality_rho,text/0.3,0.5503663003663004,0.5516581252128807,0.6455730944121386,0.6089845291658338,0.6997302936066854
MulT,44,modality_rho,text/0.4,0.5302197802197802,0.5329421426722127,0.6604144127797268,0.593411467895504,0.6874496470107809
MulT,44,modality_rho,text/0.5,0.5041208791208791,0.5077306282336081,0.6816746978133562,0.5640807225090445,0.6700698547433626
MulT,44,modality_location,text/early,0.5593406593406594,0.5569401710177994,0.6397558262034391,0.6108191898604256,0.7037661135636912
MulT,44,modality_location,text/middle,0.5623626373626374,0.562060959540165,0.6397843035772074,0.6119879492852046,0.7059467135706342
MulT,44,modality_location,text/late,0.5145604395604396,0.5207964382783359,0.6661563477202594,0.5889509362476562,0.6797015720023067
MulT,44,modality_rho,audio/0.1,0.6002747252747253,0.5945596491971866,0.60746612989313,0.6412259146451851,0.728550744203079
MulT,44,modality_rho,audio/0.2,0.5938644688644689,0.5894301656908854,0.608902169852057,0.6397147566935639,0.7254170794816983
